Exch,ScripCode,TradeDate,OpenRate,HighRate,LowRate,CloseRate,Qty
N,1,43148,34,34,34,34,12000
N,1,43158,34.7,34.7,34.4,34.4,12000
N,1,43215,34.05,34.8,34.05,34.4,12000
N,1,43278,31.3,31.3,31.3,31.3,6000
N,1,43281,31.5,31.5,31.5,31.5,6000
N,1,43334,30.4,30.4,30.4,30.4,6000
N,1,43432,26.5,26.5,26.5,26.5,6000
N,1,43519,26.3,28.4,26.3,28.4,12000
N,1,43327,31.75,31.75,31.75,31.75,6000
N,1,43583,26.4,26.4,26.4,26.4,6000
N,1,43253,30.4,30.4,30.4,30.4,6000
N,1,43260,28.55,30.2,28.55,30.2,12000
N,1,43736,24.9,25.4,24.9,25.4,12000
N,1,43061,27.4,29.5,27.4,29.5,78000
N,1,43064,29.9,33.5,29.9,32.2,48000
N,1,43355,31,31,30.8,30.9,60000
N,1,43376,27.85,27.85,27.85,27.85,6000
N,4,36604,27,27,24.45,24.45,2300
N,4,36605,24,24,22.5,23.15,6200
N,4,36606,21.3,22,21.3,21.3,9000
N,4,36607,20.5,22.75,19.6,21.5,10600
N,4,36610,22.8,22.9,20,20.05,10400
N,4,36611,19.9,20.5,19.5,19.95,8200
N,4,36612,22,22,20.1,21.25,18900
N,4,36613,20.25,21.9,20.25,20.25,9900
N,4,36614,20,20.25,18.75,18.8,7300
N,4,36617,17.5,18,14.25,14.75,14100
N,4,36618,12.75,15.7,11.1,12,14300
N,4,36619,14.5,15,13.5,13.8,4000
N,4,36620,14,14.75,13.5,14.65,4800
N,4,36621,15.1,18.35,15.1,18.35,6000
N,4,36624,18.1,21.7,18,18.75,13900
N,4,36625,16.6,18.4,16,16.4,10400
N,4,36626,17.4,17.5,15.8,16.2,3800
N,4,36627,16,16,15,15,2000
N,4,36631,12,14.75,11.5,11.5,6800
N,4,36632,12.45,12.7,11.75,12.55,11800
N,4,36633,13,13.35,12.25,12.7,4300
N,4,36634,10.05,12.3,10.05,11.4,2900
N,4,36638,11.8,11.8,9,9,6200
N,4,36639,8.5,8.5,7.55,8.3,3300
N,4,36640,8.5,10.25,8.5,10.15,6400
N,4,36641,9.1,9.75,9,9,2400
N,4,36642,8,9,7.9,9,1500
N,4,36646,7.6,7.65,7,7,1300
N,4,36647,7.25,9.7,7.25,7.8,15200
N,4,36648,9.25,11.7,9.2,11.7,10200
N,4,36649,13.5,14.65,12.9,14.4,8891
N,4,36652,16,16,14,14.25,4100
N,4,36653,11.05,15,11.05,14.6,6600
N,4,36654,16,18.25,16,18.25,300
N,4,36655,22.8,22.8,22.8,22.8,51
N,4,36656,24.5,24.65,24.5,24.65,3
N,4,36659,26.65,26.65,26.65,26.65,561
N,4,36660,28.75,28.8,28.75,28.8,521
N,4,36661,31.1,31.1,29.5,29.5,25
N,4,36662,27.5,27.5,27.5,27.5,15
N,4,36663,25.5,29.5,25.5,25.5,40
N,4,36666,27.5,27.5,27.5,27.5,10
N,4,36670,25.75,25.75,25.75,25.75,100
N,4,36674,25.75,25.75,25.75,25.75,1
N,4,36676,23.7,23.7,23.7,23.7,200
N,4,36690,21.8,21.8,21.8,21.8,1
N,4,36691,21.8,21.8,20.1,20.1,5
N,4,36694,18.5,18.5,18.5,18.5,2
N,4,36695,17,17,13.9,13.9,26
N,4,36696,13.9,13.9,13,13,200
N,4,36697,12,12,12,12,204
N,4,36698,11,12,9,9,2638
N,4,36701,11,12,9,9,4425
N,4,36702,10,10,9.25,9.25,2505
N,4,36703,9,9,8,8,400
N,4,36704,9.25,9.25,9.25,9.25,2100
N,4,36705,9.2,9.2,9.2,9.2,300
N,4,36710,7.75,7.75,7.5,7.5,2700
N,4,36711,7.5,8.9,7,7,2300
N,4,36712,7,7,7,7,210
N,4,36715,7.2,7.2,7,7,1600
N,4,36716,8,8,6,6,4151
N,4,36717,6,7.9,4.5,7.9,3438
N,4,36719,5.05,6.95,5,6.95,1600
N,4,36722,6,6,6,6,100
N,4,36723,6.5,6.5,6.5,6.5,500
N,4,36724,5.1,6.8,5.1,6.8,600
N,4,36725,5.6,5.6,5.5,5.5,2000
N,4,36726,6,6.05,6,6,1100
N,4,36731,6,6,5.15,5.95,557
N,4,36736,6,6,6,6,2000
N,4,36737,6,6,6,6,1000
N,4,36740,5.9,5.9,5.9,5.9,500
N,4,36745,6,6,6,6,100
N,4,36747,6,6,5.5,5.65,3700
N,4,36750,6,6,6,6,800
N,4,36752,5.15,5.15,5,5,500
N,4,36754,6.4,6.4,6.4,6.4,500
N,4,36757,5,5.95,5,5,1550
N,4,36758,5.5,6,5.5,6,800
N,4,36760,6,6.6,5.55,5.55,802
N,4,36761,6,6,6,6,400
N,4,36765,6.05,6.05,6,6,700
N,4,36766,6.1,6.5,6,6.5,4600
N,4,36767,6.5,6.5,6.25,6.25,2200
N,4,36771,7,7,7,7,1500
N,4,36772,7.15,8.7,7.1,8.65,2650
N,4,36773,8.2,8.3,8.05,8.25,2350
N,4,36774,8.25,8.45,8,8.45,900
N,4,36775,9,9,9,9,200
N,4,36778,9,9,8.3,8.5,2700
N,4,36779,8.4,8.4,8.4,8.4,100
N,4,36780,8.4,8.4,8.4,8.4,100
N,4,36782,7.9,7.9,7.9,7.9,5500
N,4,36785,7.95,7.95,7.5,7.5,250
N,4,36786,6,6.1,6,6.1,300
N,4,36794,7.8,7.8,7.8,7.8,200
N,4,36796,7.45,7.45,7.45,7.45,100
N,4,36800,7.4,7.4,7.4,7.4,200
N,4,36802,6,6,6,6,2300
N,4,36808,6,6,5.1,5.2,4900
N,4,36809,5.2,5.2,5.05,5.05,399
N,4,36810,5.95,5.95,5.6,5.6,4300
N,4,36817,6.9,6.9,6.9,6.9,100
N,4,36820,5.6,5.6,5.6,5.6,100
N,4,36821,4.55,4.55,4.5,4.5,700
N,4,36822,4.2,5.5,4.2,4.5,3000
N,4,36823,5.25,5.25,4.5,4.85,200
N,4,36827,6.15,6.15,6.15,6.15,200
N,4,36828,5.05,5.05,4.65,4.65,28000
N,4,36829,5.8,5.8,5,5,500
N,4,36830,4.9,4.9,4.9,4.9,200
N,4,36835,6,6,6,6,600
N,4,36837,4.85,5,4.85,5,630
N,4,36838,5.8,5.85,5.8,5.8,202
N,4,36844,7,7,5.55,5.55,201
N,4,36845,5.7,5.7,5.7,5.7,1000
N,4,36848,6.5,6.5,5,5,1250
N,4,36849,4.5,5,4.5,5,1200
N,4,36855,5,5,5,5,200
N,4,36858,5.45,5.45,5,5,500
N,4,36864,5.4,5.4,4.5,5.3,150
N,4,36866,5,5.4,5,5.4,4100
N,4,36869,5.35,5.35,5.3,5.3,600
N,4,36870,5.7,5.7,4.05,4.05,10
N,4,36871,5,5,5,5,1000
N,4,36872,5.5,5.5,5.5,5.5,500
N,4,36878,5,5,5,5,2800
N,4,36880,5,5,5,5,500
N,4,36891,3.9,3.9,3.9,3.9,100
N,4,36892,4,4.75,4,4.2,1220
N,4,36894,4.4,4.4,4.35,4.35,500
N,4,36898,4.05,4.05,4.05,4.05,200
N,4,36904,4.8,4.8,3.8,3.8,2
N,4,36907,4.65,4.65,4.65,4.65,1000
N,4,36913,3.2,3.2,3.1,3.1,1800
N,4,36914,4.55,4.55,3.55,3.55,2
N,4,36919,4.35,4.35,3.75,3.75,150
N,4,36921,4.55,4.55,4.55,4.55,500
N,4,36927,3.5,3.5,3.5,3.5,500
N,4,36932,3.5,3.5,3.5,3.5,200
N,4,36933,3.3,3.3,3.3,3.3,100
N,4,36935,4.4,4.4,4.3,4.3,700
N,4,36936,3.3,3.3,3,3,700
N,4,36939,4,4.1,4,4.1,300
N,4,36942,3.1,3.1,3.1,3.1,500
N,4,36943,3.15,3.15,3.15,3.15,300
N,4,36947,3.6,3.6,3.6,3.6,5
N,4,36948,2.75,2.75,2.75,2.75,5
N,4,36950,3.6,3.6,3.6,3.6,90
N,4,36962,3.5,3.5,3.5,3.5,100
N,4,36963,2.55,2.55,2.5,2.5,600
N,4,36975,2.4,2.4,1.35,1.35,1600
N,4,36977,1.1,1.1,1.1,1.1,300
N,4,36996,0.6,0.6,0.6,0.6,400
N,4,36998,0.65,0.65,0.65,0.65,100
N,4,37006,0.35,0.35,0.35,0.35,1
N,4,37047,0.55,0.55,0.55,0.55,1
N,4,37052,0.85,0.85,0.85,0.85,100
N,4,37058,1,1,1,1,300
N,4,37060,1,1.5,1,1.5,200
N,4,37061,1.5,1.5,1.5,1.5,200
N,4,37062,2,2,2,2,50
N,4,37065,2.95,2.95,1.45,1.6,550
N,4,43215,43.85,43.85,43.85,43.85,1101
N,4,43236,41,41,40.7,40.7,3161
N,4,43239,39.9,39.9,39.9,39.9,221
N,4,43243,36.9,38.4,36.9,38.4,6928
N,4,43246,39.15,39.15,38.5,39.15,9674
N,4,43278,36.5,36.5,35.65,36.45,3270
N,4,43281,36.6,37,36.5,36.7,1013
N,4,43285,34.15,34.5,34.15,34.45,8543
N,4,43288,34,34,33.8,33.85,263
N,4,43337,37.25,37.35,36.05,36.7,1954
N,4,43393,26.3,26.3,26,26,894
N,4,43432,22,22.4,22,22.4,90
N,4,43435,22.4,22.8,22.4,22.8,201
N,4,43481,23,23.45,22.55,22.55,199
N,4,43484,22.55,22.6,22.1,22.1,650
N,4,43495,21.3,21.3,21.15,21.15,1369
